tag,product_count,tag_en,tag_ko,description_vi
Bánh Cuốn,4,Vietnamese Steamed Rice Rolls,반꾸온,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Cuốn”.
Mực Nướng,4,Grilled Squid,구운 오징어,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Mực Nướng”.
Mực Tươi,4,Fresh Squid,신선 오징어,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Mực Tươi”.
Nhựa Tritan,4,Tritan Plastic,트라이탄 플라스틱,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Nhựa Tritan."
Long Não,4,Camphor,장뇌,"Sản phẩm vệ sinh, giặt tẩy hoặc chăm sóc nhà cửa thuộc nhóm “Long Não”."
Sả Cây,4,Fresh Lemongrass,생 레몬그라스,Rau củ hoặc nguyên liệu thực phẩm thuộc nhóm “Sả Cây”.
Đuôi Heo,4,Pork Tail,돼지꼬리,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Đuôi Heo”."
Đèn LED,4,LED Light,LED 조명,Sản phẩm chiếu sáng sử dụng công nghệ LED.
Cay Vừa,4,Medium Spicy,중간 매운맛,Sản phẩm có mức độ cay vừa.
Snack Healthy,4,Healthy Snacks,건강 간식,Đồ ăn nhẹ được định vị theo hướng lành mạnh.
Collagen Peptide,4,Collagen Peptide,콜라겐 펩타이드,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Collagen Peptide”.
Mứt Cam,4,Orange Marmalade,오렌지 마멀레이드,Mứt làm từ cam hoặc sản phẩm phết có hương vị cam.
Baking Soda,4,Baking Soda,베이킹소다,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Baking Soda."
Xương Heo,4,Pork Bones,돼지뼈,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Xương Heo”."
Cải Xanh,4,Mustard Greens,겨자잎 채소,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Cải Xanh”."
Bò Organic,4,Organic Beef,유기농 소고기,Sản phẩm thịt bò hữu cơ hoặc được công bố theo tiêu chuẩn organic.
Món Nhậu,4,Drinking Snacks,안주,Món ăn hoặc sản phẩm thuộc nhóm “Món Nhậu”.
Muối Tắm,4,Bath Salt,입욕 소금,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Muối Tắm”.
Hoa Hồng,4,Rose,장미,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Hoa Hồng”.
Kiwi Xanh,4,Green Kiwi,그린키위,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Kiwi Xanh”.
Bưởi Ruby,4,Ruby Grapefruit,루비 자몽,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Bưởi Ruby”.
Nạc Lưng,4,Pork Loin,돼지 등심,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Nạc Lưng”."
Tôm Viên,4,Shrimp Balls,새우 완자,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Viên”.
Xôi,4,Sticky Rice,찹쌀밥,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Xôi”."
Surimi Cá,4,Fish Surimi,생선 연육,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Surimi Cá”.
Vá Canh,3,Soup Ladle,국자,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Vá Canh”.
Chống Tràn,3,Spill-Proof,흘림 방지,Sản phẩm có thiết kế hoặc tính năng hạn chế tràn.
Cam Sành,3,Vietnamese Green Orange,깜산 오렌지,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Cam Sành”.
Thanh Nhiệt,3,Cooling / Heat-Relief,열 완화,Sản phẩm được định vị với công dụng thanh nhiệt.
Mơ Muối,3,Salted Plum,매실 절임,Quả mơ được chế biến hoặc ngâm với muối.
Soju Infused,3,Infused Soju,인퓨즈드 소주,Đồ uống có cồn thuộc loại “Soju Infused”.
Trà Vải,3,Lychee Tea,리치차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Vải”."
Trà Dâu,3,Strawberry Tea,딸기차,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Trà Dâu”."
Hộp Đựng Cơm,3,Lunch Box,도시락통,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Hộp Đựng Cơm”.
Matcha Latte,3,Matcha Latte,말차 라떼,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Matcha Latte”."
Hạt Bí,3,Pumpkin Seeds,호박씨,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Bí”."
Bạch Tuộc,3,Octopus,문어,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Bạch Tuộc”.
Yến Chưng,3,Stewed Bird's Nest,중탕 제비집,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Yến Chưng”."
Hạt Sen,3,Lotus Seeds,연꽃씨,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Hạt Sen”."
Hành Lá,3,Green Onion,대파,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Hành Lá”."
Quất Dẻo,3,Candied Kumquat,말랑 금귤,Sản phẩm từ quất được chế biến dạng dẻo.
Pizza Tôm,3,Shrimp Pizza,새우 피자,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Pizza Tôm”.
Sữa Socola,3,Chocolate Milk,초콜릿 우유,Sản phẩm sữa hoặc đồ uống từ sữa thuộc nhóm “Sữa Socola”.
Khô Heo,3,Pork Jerky,돼지고기 육포,Thịt heo khô hoặc sản phẩm chế biến dạng khô từ heo.
Sườn Bò,3,Beef Ribs,소갈비,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Sườn Bò”."
Hồng Sâm,3,Red Ginseng,홍삼,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Hồng Sâm."
Trung Thu,3,Mid-Autumn Festival,중추절,Sản phẩm gắn với mùa hoặc dịp Tết Trung Thu.
Chống Rối,3,Anti-Tangle,엉킴 방지,Sản phẩm hỗ trợ giảm rối tóc.
Ion Bạc,3,Silver Ion,은이온,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Ion Bạc."
Mặc Nhà,3,Homewear,홈웨어,Trang phục phù hợp mặc ở nhà.
Nước Chanh,3,Lemon Drink,레몬 음료,Đồ uống hoặc sản phẩm dạng nước thuộc nhóm “Nước Chanh”.
Bánh Nướng,3,Baked Cake,구운 케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Nướng”.
Túi Đựng Thực Phẩm,3,Food Storage Bag,식품 보관 봉투,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Túi Đựng Thực Phẩm”.
Xe Xúc,3,Excavator Toy,굴착기 장난감,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Xe Xúc”.
Me Vườn,3,Garden Tamarind,정원 타마린드,Sản phẩm từ me hoặc nguyên liệu me theo nhóm “Me Vườn”.
Không Hương,3,Unscented,무향,Sản phẩm không bổ sung hương hoặc không có hương.
Chuẩn VietGAP,3,VietGAP Certified,VietGAP 인증,Sản phẩm đáp ứng hoặc được công bố theo tiêu chuẩn VietGAP.
Chanh Vàng,3,Yellow Lemon,레몬,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Chanh Vàng”.
Xí Muội,3,Preserved Plum,화매·절임 매실,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Xí Muội”.
Đậu Trắng,3,White Bean,흰콩,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Đậu Trắng”."
Sốt Dầu,2,Oil-Based Sauce,오일 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Dầu”."
Bulgogi Bò,2,Beef Bulgogi,소불고기,Món hoặc sản phẩm thịt bò chế biến theo phong cách bulgogi Hàn Quốc.
Latte Muối,2,Salted Latte,소금 라떼,"Đồ uống trà, cà phê hoặc đồ uống pha chế thuộc nhóm “Latte Muối”."
Kẹo Sữa,2,Milk Candy,우유 캔디,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Kẹo Sữa”.
Óc Chó,2,Walnut,호두,"Ngũ cốc, hạt, đậu hoặc sản phẩm từ hạt thuộc nhóm “Óc Chó”."
Socola Chip,2,Chocolate Chips,초콜릿 칩,Bánh kẹo hoặc đồ ngọt thuộc nhóm “Socola Chip”.
Sốt Chanh,2,Lemon Sauce,레몬 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Chanh”."
Bánh Dứa,2,Pineapple Cake,파인애플 케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Dứa”.
Bánh Marie,2,Marie Biscuits,마리 비스킷,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Marie”.
Làm Sandwich,2,Sandwich Making,샌드위치 만들기,"Nguyên liệu, dụng cụ hoặc sản phẩm phù hợp để làm sandwich."
Mẹ Bầu,2,Pregnant Women,임산부,Sản phẩm dành cho phụ nữ mang thai.
Khay Inox,2,Stainless Steel Tray,스테인리스 트레이,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Khay Inox”.
Serum Biotin,2,Biotin Serum,비오틴 세럼,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Serum Biotin”.
Xá Xíu,2,Char Siu,차슈,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Xá Xíu”."
Bánh Trứng,2,Egg Cake,계란 케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Trứng”.
Nhựa PVC,2,PVC Plastic,PVC 플라스틱,"Sản phẩm có chất liệu, cấu tạo hoặc lớp hoàn thiện liên quan đến Nhựa PVC."
Vitamin A/C/E,2,Vitamins A/C/E,비타민 A/C/E,Sản phẩm chăm sóc cá nhân hoặc làm đẹp thuộc nhóm “Vitamin A/C/E”.
Ngựa Pony,2,Pony,포니,Đồ chơi hoặc sản phẩm theo nhân vật/chủ đề “Ngựa Pony”.
Nấu Burger,2,Burger Cooking,버거 만들기,Nguyên liệu hoặc sản phẩm phù hợp để nấu burger.
Tóc Nhuộm,2,Color-Treated Hair,염색모,Sản phẩm chăm sóc dành cho tóc đã nhuộm màu.
Xe Đạp,2,Bicycle,자전거,"Phương tiện, đồ chơi xe hoặc phụ kiện liên quan đến “Xe Đạp”."
Thịt Viên,2,Meatballs,미트볼,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Thịt Viên”."
Bánh Chưng,2,Banh Chung,반쯩,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Chưng”.
Muối Biển,2,Sea Salt,천일염,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Muối Biển”.
Tỏi Phi,2,Fried Garlic,튀긴 마늘,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Tỏi Phi”."
Phụ Kiện Ô Tô,2,Car Accessories,자동차 액세서리,"Phương tiện, đồ chơi xe hoặc phụ kiện liên quan đến “Phụ Kiện Ô Tô”."
Giàu Đạm,2,High Protein,고단백,Sản phẩm có hàm lượng đạm cao hoặc được công bố giàu đạm.
Nấm Hương,2,Shiitake Mushroom,표고버섯,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Nấm Hương”."
Bánh Bơ,1,Butter Cake,버터 케이크,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Bơ”.
Dừa Tươi,1,Fresh Coconut,신선 코코넛,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Dừa Tươi”.
Đồ Ngủ,1,Sleepwear,잠옷,Sản phẩm thời trang hoặc phụ kiện thuộc nhóm “Đồ Ngủ”.
Cỏ Ngọt,1,Stevia,스테비아,"Sản phẩm có thành phần, chiết xuất hoặc hoạt chất liên quan đến Cỏ Ngọt."
Muỗng Nhọn,1,Pointed Spoon,끝이 뾰족한 스푼,Đồ gia dụng hoặc dụng cụ nhà bếp thuộc nhóm “Muỗng Nhọn”.
Tôm Tempura,1,Shrimp Tempura,새우튀김,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Tempura”.
Bánh Mặn,1,Savory Pastry,짭짤한 페이스트리,Sản phẩm bánh hoặc món ăn chế biến thuộc nhóm “Bánh Mặn”.
Chuối Tây,1,Cavendish Banana,캐번디시 바나나,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Chuối Tây”.
Dã Ngoại,1,Picnic,피크닉,Sản phẩm phù hợp cho hoạt động dã ngoại.
Tôm Cua,1,Shrimp & Crab,새우·게,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Cua”.
Hành Lý,1,Luggage,수하물,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Hành Lý”."
Đường Thanh,1,Sugar Sticks,스틱 설탕,Gia vị hoặc nguyên liệu nêm nếm thuộc nhóm “Đường Thanh”.
Chống Lóa,1,Anti-Glare,눈부심 방지,Sản phẩm có tính năng hạn chế chói hoặc lóa.
Bún Chả,1,Bun Cha,분짜,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Bún Chả”."
Tôm Thịt,1,Shrimp & Meat,새우·고기,Thủy hải sản hoặc sản phẩm chế biến thuộc nhóm “Tôm Thịt”.
Sốt Nấm,1,Mushroom Sauce,버섯 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Nấm”."
Lẩu Nấm,1,Mushroom Hot Pot,버섯 전골,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Lẩu Nấm”."
Sốt Sriracha,1,Sriracha Sauce,스리라차 소스,"Gia vị, nước chấm hoặc sốt thuộc nhóm “Sốt Sriracha”."
Mì Carbonara,1,Carbonara Noodles,카르보나라 면,"Mì, bún, phở, nui hoặc sản phẩm tương tự thuộc nhóm “Mì Carbonara”."
Nghệ Tươi,1,Fresh Turmeric,생강황,Rau củ hoặc nguyên liệu thực phẩm thuộc nhóm “Nghệ Tươi”.
Dừa Sợi,1,Shredded Coconut,코코넛 채,Trái cây hoặc sản phẩm từ trái cây thuộc nhóm “Dừa Sợi”.
Lẩu Gà,1,Chicken Hot Pot,닭 전골,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Lẩu Gà”."
Xương Rồng,1,Cactus,선인장,"Rau, củ, nấm hoặc sản phẩm thực vật thuộc nhóm “Xương Rồng”."
Kem Dừa,1,Coconut Ice Cream,코코넛 아이스크림,"Thực phẩm, món ăn hoặc sản phẩm chế biến thuộc nhóm “Kem Dừa”."
Heo Hầm,1,Braised Pork,돼지고기 조림,"Thịt, phần cắt hoặc sản phẩm chế biến từ thịt thuộc nhóm “Heo Hầm”."
